num1,num2
2,30
1,169
13,7
252,1
8,2
12,4
629,1
3,13
38,2
5,9
1043,1
6,2
83,1
486,1
55,1
60,2
43,1
70,1
10,2
1850,1
47,1
849,1
71,1
7,3
586,1
66,1
747,1
3044,1
21,3
204,1
128,1
655,1
25,2
239,1
1782,1
1336,1
1979,1
1186,1
3740,1
383,1
884,1
420,1
833,1
9,4
146,1
510,1
106,1
410,1
168,1
117,1
59,1
330,1
15,5
119,1
1167,1
482,1
46,2
100,1
603,1
174,1
213,1
35,1
48,1
163,1
53,2
167,1
519,1
11,4
63,1
351,1
80,2
569,1
147,1
370,1
22,1
20,2
222,1
50,1
160,1
345,1
145,1
396,1
32,2
57,1
197,1
16,1
87,1
260,1
340,1
120,1
45,1
75,1
85,1
114,1
62,2
4,6
126,1
61,1
19,1
14,1
33,1
49,1
91,1
68,1
40,1
17,1
110,1
51,1
