num1,num2
0.62,39
0.71,29
0.6,48
0.86,41
0.92,35
0.5,646
0.52,31
0.72,27
0.83,54
0.7,40
0.78,31
0.75,49
0.53,28
0.9,40
0.61,24
0.69,30
0.8,51
0.97,47
0.96,39
1.0,299
0.63,31
0.98,46
0.85,31
0.56,36
0.51,16
0.87,35
0.49,17
0.89,38
0.32,5
0.76,25
0.93,29
0.95,36
0.81,37
0.59,22
0.64,29
0.84,37
0.79,40
0.67,69
0.77,44
0.31,5
0.73,30
0.66,22
0.58,30
0.55,29
0.4,14
0.04,2
0.47,16
0.43,6
0.91,29
0.0,44
0.99,54
0.74,25
0.65,43
0.82,43
0.68,35
0.57,31
0.39,4
0.88,43
0.44,10
0.94,42
0.38,15
0.33,18
0.35,5
0.37,5
0.45,13
0.48,12
0.46,7
0.25,8
0.24,5
0.22,2
0.41,6
0.42,5
0.21,4
0.16,2
0.54,24
0.28,4
0.06,1
0.36,7
0.29,4
0.15,1
0.11,6
0.3,3
0.08,1
0.2,3
0.19,2
0.01,4
0.27,5
0.23,2
0.14,4
0.34,3
0.09,3
0.1,2
0.13,1
0.26,1
0.17,1
0.18,2
0.12,1
