num1,num2
4504,1
77,3
108,1
355,1
3520,1
231,2
53,3
31,6
301,1
556,1
88,1
13,29
425,1
93,1
190,2
115,2
993,1
30,7
7,76
1,3021
38,5
48,2
1102,1
3,398
40,4
150,2
6,85
17,15
34,6
2,956
10,35
5,128
9,45
4,239
2530,1
19,9
58,1
11,22
47,4
292,1
41,6
104,2
20,11
2569,1
16,15
15,14
60,1
869,1
8,42
14,25
22,10
81,1
27,9
96,1
422,1
35,2
24,5
248,1
39,2
45,1
950,1
32,2
959,1
57,2
12,22
37,1
43,3
56,2
23,13
516,1
66,2
5205,1
194,2
183,1
21,8
70,1
26,4
62,1
227,1
44,4
123,1
1530,1
1352,1
85,2
28,5
59,2
33,3
92,1
188,1
148,1
25,8
42,5
332,2
116,1
154,1
517,1
18,13
63,1
5276,1
359,1
1058,1
50,1
460,1
36,1
95,1
68,1
862,1
1638,1
46,2
29,7
106,1
260,1
233,1
89,1
491,1
138,1
65,1
109,2
254,1
171,1
214,1
69,1
375,1
361,1
296,1
55,1
689,1
657,1
212,1
83,1
49,1
1217,1
395,1
561,1
185,1
87,1
94,1
107,1
3749,1
875,1
133,1
487,1
64,1
191,1
192,1
801,1
876,1
1330,1
234,1
84,1
404,1
463,1
207,1
2211,1
100,1
119,1
124,2
61,1
276,1
98,2
481,1
