num1,num2
0.63,37
0.55,36
0.67,139
0.64,47
0.48,16
0.72,47
0.62,59
0.66,28
0.5,1435
0.73,57
0.85,61
0.77,43
0.8,82
0.9,102
0.58,48
0.57,50
0.75,101
0.68,44
0.86,93
0.7,43
0.65,41
0.94,112
0.96,111
0.87,58
0.51,34
0.69,50
1.0,496
0.84,65
0.89,105
0.93,95
0.49,23
0.33,27
0.81,56
0.92,104
0.76,39
0.61,38
0.74,40
0.97,91
0.78,57
0.88,107
0.59,31
0.45,14
0.79,56
0.71,63
0.91,81
0.38,12
0.6,76
0.95,121
0.82,72
0.83,108
0.98,63
0.46,17
0.47,19
0.53,37
0.25,14
0.52,32
0.56,51
0.54,31
0.06,2
0.26,2
0.28,2
0.4,18
0.0,67
0.43,18
0.14,6
0.24,1
0.29,11
0.99,30
0.44,13
0.42,10
0.05,2
0.13,2
0.18,1
0.19,1
0.41,5
0.35,3
0.15,5
0.16,2
0.36,4
0.27,4
0.2,7
0.37,2
0.17,4
0.22,4
0.04,1
0.34,2
0.11,4
0.31,4
0.32,1
0.39,3
0.3,1
0.23,1
