num1,num2
159,1
1039,1
409,1
2,468
5,116
1,1645
100,2
196,2
32,7
797,1
26,7
30853,1
1154,1
182,2
66,1
69,3
9,56
4,195
79,2
1046,1
35,7
123,3
44,4
12,33
3,253
259,1
46,4
33,12
193,3
6,81
365,1
631,1
63,5
51,4
48,4
115,3
1168,1
11,34
21,19
24,8
14,21
37,9
30,13
168,1
129,2
38,2
36,4
7,75
81,3
16,19
85,5
112,2
10,34
8,61
13,23
1133,1
18,16
230,1
23,16
43,6
77,3
28,12
157,2
17,24
271,1
90,3
331,1
19,16
421,1
78,5
359,1
94,2
15,20
774,1
216,1
34,9
189,2
322,1
305,3
452,1
146,2
180,1
22,7
25,10
59,4
29,13
145,5
1042,1
222,1
62,5
432,1
291,1
167,1
407,1
628,1
70,2
39,4
316,3
943,1
240,1
68,5
99,1
80,1
175,3
47,8
763,1
40,8
27,6
107,4
31,6
116,2
76,3
847,1
1385,1
545,1
41,4
397,1
584,1
550,1
161,1
54,5
52,2
717,1
192,1
128,1
643,1
56,5
97,3
286,1
248,2
20,12
377,1
111,1
893,1
177,2
328,1
361,2
117,1
210,2
6309,1
277,1
287,1
155,1
73,1
124,1
298,2
228,1
98,2
172,2
426,1
139,2
194,1
183,2
110,1
133,1
49,4
125,1
184,2
55,2
612,1
324,2
102,2
728,1
823,1
212,1
42,2
45,5
174,1
542,1
96,1
827,1
195,1
297,1
435,1
206,1
130,2
127,1
332,1
267,1
60,2
71,4
1246,1
371,2
220,1
154,1
232,1
121,3
437,1
141,2
418,2
446,2
91,1
518,1
122,2
75,4
53,2
57,1
221,1
355,1
254,1
87,2
330,1
459,1
791,1
65,3
198,2
143,1
268,1
416,1
888,1
666,1
140,1
319,1
296,1
275,1
401,1
395,1
356,1
50,1
269,1
224,1
105,2
109,1
234,1
218,1
144,1
270,1
247,1
201,1
260,1
342,1
207,1
500,1
58,1
150,1
108,3
868,1
148,1
136,2
104,1
72,2
289,1
205,1
89,1
95,1
191,1
64,1
93,1
61,1
119,1
82,1
