num1,num2
0.94,27
0.72,62
0.78,39
0.61,28
0.83,47
0.5,1025
0.52,39
0.43,15
0.59,43
0.53,37
0.67,165
0.54,36
0.9,40
0.7,62
0.86,31
0.93,24
0.82,36
0.57,50
0.73,58
0.63,44
0.64,60
0.68,60
0.33,23
0.88,28
0.79,40
0.6,77
0.76,29
0.55,44
1.0,268
0.71,69
0.95,36
0.38,11
0.69,58
0.89,20
0.74,45
0.85,31
0.48,23
0.8,52
0.81,34
0.77,40
0.66,57
0.56,43
0.46,10
0.58,37
0.97,32
0.37,6
0.75,74
0.98,23
0.96,23
0.4,18
0.51,28
0.0,40
0.99,27
0.62,54
0.92,22
0.49,15
0.25,10
0.45,7
0.24,5
0.84,28
0.16,1
0.47,11
0.65,48
0.32,2
0.36,10
0.42,11
0.44,16
0.27,5
0.87,21
0.14,3
0.07,2
0.91,25
0.08,3
0.03,1
0.29,4
0.2,5
0.23,3
0.12,4
0.28,6
0.1,4
0.39,3
0.06,1
0.26,1
0.17,3
0.01,2
0.04,1
0.15,2
0.41,6
0.3,4
0.35,4
0.11,1
0.05,1
0.02,1
0.13,1
0.31,1
0.21,1
0.09,1
